Profile Text,Link,Name,Designation,Department
"I am currently working as an Assistant Professor in Noida Institute of Engineering and Technology (NIET) Greater Noida, UP, India. I have done my Bachelors (B.Tech) in “Computer Science and Engineering” from Islamic University of Science and Technology, Jammu and Kashmir. I pursued Masters (M.Tech) in “Information Security and Cyber Forensics” from Jamia Hamdard University. I have done my Ph.D. from Jamia Hamdard University in the Department of Computer Science and Engineering. I have published various research articles in well reputed journals and conferences. My research interests include Cloud computing, Artificial Intelligence, Information Security, Cyber Security, Machine Learning, Sustainable Development and Cryptography.

In addition to having a number of papers published in Scopus conferences, I have papers in SCI and Scopus journals, I have a research paper published in Scopus Journal (EAI Endorsed Transactions on Energy Web) and SCI Journal (Springer-Cluster Computing) with an impact factor - 4.4.",https://www.niet.co.in/faculty/sanna-mehraj-kak,Ms. Sanna Mehraj Kak,Assistant Professor,Artificial Intelligence
"Myself Dileep Kumar Kushwaha currently working as an Assistant Professor, IT and M.Tech Int. at NIET Greater Noida. I have acquired MCA from UPTU, M.Tech CSE from Jamia Hamdard University.

I have total experience of 15 years including industry experience of 1 years. My area of expertise includes Algorithm, ML, Healthcare and Image Processing. Published around 10+ international/national research papers.",https://www.niet.co.in/faculty/dileep-kumar-kushwaha,Mr. Dileep Kumar Kushwaha,Assistant Professor,Information Technology
"Training and Learning(ATAL)Academy Online FDP on Internet of things(IOT) from 25-05-2020 to 29-05-2020 at MANIT Bhopal.

Smart Application of Nano Sciences for Innovative Engineering Aspects during 13-14 April, 2021 organized by Department of Applied Science, PIET, Jaipur Faculty Development Programme on “Image Processing Techniques for Real Word Applications ” held from 08/08/2020 to 12/08/2020 at ""Arya College of Engineering and Research Centre"", Jaipur (Rajasthan), India AICTE Training And Learning (ATAL) Academy Online Advanced FDP on ""Cyber Security Vulnerabilities & Safeguards"" from 2021-07-12 to 2021-07-16 at National Institute of Technical Teachers Training & Research Chandigarh AICTE Training And Learning (ATAL) Academy Online Elementary FDP on ""Device Security in Internet of Things"" from 2021-7-7 to 2021-7-11 at Indian Institute of Information Technology Guwahati.",https://www.niet.co.in/faculty/monika-mehra,Ms. Monika Mehra,Assistant Professor,Artificial Intelligence
"Education

M.Tech",https://www.niet.co.in/faculty/ajay-kongari,Mr. Ajay Kongari,Assistant Professor,Mechanical Engineering
"Born in January 1985 in Distt. Ghazipur, Uttar Pradesh, India; Prof. Sanjay Kumar pursuing his Ph. D from Dr. B. R. Ambedkar National Institute of Technology (NIT) Jalandhar did the M. Tech. from NIET, Greater Noida, the B.Tech. from AKG Engineering College, Ghaziabad, U.P. His research interests include; Friction Stir Additive Manufacturing (FSAM), Friction Stir Welding (FSW), Friction Stir Processing (FSP), Composites, Taguchi Optimization, Gray Relation Analysis, Computer Aided Design and consulting interests: PTC CREO for Design Engineers, Industrial Design & Simulation, 3D Printing, Augmented Reality, PTC PLM Windchill.

Presently working as Assistant Professor & Dy. HoD of Mechanical Engineering, Noida Institute of Engineering & Technology, Greater Noida, U.P. since January 2008. Prof. Kumar possesses 15 years of experience in academics and research. Prof. Kumar has the administrative experience also and serving as General Manager- International Outreach and Partnerships, Associate Dean- Innovation Labs & MOOCs; Coordinator of PTC Centre of Excellence, SPOC-NPTEL/ICT M.Tech. & B.Tech. Admission Committee. He also worked as UG Coordinator, Industrial Visit & Seminar Coordinator, Coordinator of Departmental Students Performance committee in NBA & NAAC, member of Developmental Research Committee. Prof. Kumar has inculcated research culture amongst the Undergraduate & Postgraduate students who have contributed significantly at various national and international forums encompassing FSW, FSP, PTC CREO etc.

In addition to teaching at PG and UG levels, Prof. Kumar has made a significant contribution to R&D in the area of FSW & FSP for fabrication of welded joints and composite materials. He has guided many B.Tech. and M.Tech. Students and has undertaken Sponsored Research Projects of 06 Lakh under Collaborative Research and Innovation Program funded under TEQIP- III AKTU, Lucknow. He has published more than 12 research papers in the International and National Journals and Conferences.

Prof. Kumar brings with him a combination of being a distinguished academician, an exemplary researcher, visionary educational administrator, a professional consultant with a positive attitude and profoundly professional approach for intimate industry interaction. Prof. Kumar has a unique vision of his own for the educational system. He believes in providing malleable and ingenious curriculum having an optimal mix of State-of-art theoretical knowledge, creative practical skills, management, entrepreneurship and sustainable development. He also believes that modernization of infrastructure and faculty motivation is essential for a world-class institution. Prof. Kumar also believes in optimal utilization of resources and advocates for cost reduction in higher technical and vocational education.",https://www.niet.co.in/faculty/sanjay-kumar,Mr. Sanjay Kumar,"General Manager- International Outreach & Partnerships- NIET, Associate Dean- Innovation Labs & MOOCs- NIET, Dy. HoD & Asst. Professor- School of Mechanical Engineering",Mechanical Engineering
"Education

MCA

PG Diploma

M.Tech

Ph.D. (CSE)",https://www.niet.co.in/faculty/lakshman-ji,Dr. Lakshman Ji,Assistant Professor,Master of Computer Applications (MCA)
"Garima Joshi is an Assistant Professor in the Department of Languages, Noida Institute of Engineering and Technology, Greater Noida. She has completed her BSc(H) Mathematics from University of Delhi and holds a master’s degree in English Literature from Kumaun University, Nainital. She has qualified UGC NET and GATE(humanities) in English in the years 2020 and 2021 respectively. She is currently working on her PhD proposal. Her areas of interest include popular culture and English language teaching.",https://www.niet.co.in/faculty/garima-joshi,Ms. Garima Joshi,Assistant Professor,Humanities & Applied Sciences
"I am Shivani Srivastava, Bachelor's in PCM & master’s in computer application, working as an assistant professor in NIET. Before joining the NIET, I served in various projects in the IT field for 3 years. I have a strong background in academics/others and am looking to share my knowledge with all. I am a dedicated professional with a commitment to excellence.",https://www.niet.co.in/faculty/shivani-srivastava,Ms. Shivani Srivastava,Data Science,Data Science
"Swarnima works as an Assistant Professor in the Department of Electronics and Communication at Noida Institute of Engineering & Technology (NIET), Greater Noida. She is pursuing PhD in AIML from Bennett University. She has teaching and research experience of 5 years. She received her M.Tech degree in VLSI Design from AKTU, Lucknow . Her area of interest includes Medical Image Processing, Deep Learning, Artificial Intelligence applications, and IoT.",https://www.niet.co.in/faculty/swarnima,Ms. Swarnima,Assistant Professor,Electronics & Communication Engineering
I am working as Assistant Professor in CSE(AI) Department of NIET with an experience of 3 years. i have done B.Tech and M.Tech from Vtu University. I am UGC NET Qualified in the computer science and applications. I have expertise in python and c programming language and hold a strong command on Data Struture.,https://www.niet.co.in/faculty/priya-dahiya,Ms. Priya Dahiya,Assistant Professor,Artificial Intelligence
"Education

Ph.D.

M Phil",https://www.niet.co.in/faculty/sujeetkumar-singh,Dr. SujeetKumar Singh,Assistant Professor,Biotechnology
"I am Ajeet Singh from NIET, Greater Noida, an Assistant Professor in the department of Mechanical Engineering.

he has 8 year of teaching Experience. he did B.Tech in Mechanical and Automation Engineering from Amity University and M.Tech in Production Technology from Vinoba Bhave University Hazaribagh, Jharkhand. His areas of interest include Automation, Mechatronics , Artificial Intelligence and robotics.",https://www.niet.co.in/faculty/ajeet-singh,Mr. Ajeet Singh,Assistant Professor,Mechanical Engineering
"Ms. Sonali Sharma, Assistant Professor, NIET, Greater Noida is a faculty under School of Management (MBA department). She is currently pursuing P.hd from Mullana University and possess 5 years of teaching experience at Commerce College. She published 2 Scopus Paper and attended many conferences , FDP and seminars in the field of Commerce and is NET qualified",https://www.niet.co.in/faculty/sonali-sharma,Ms. Sonali Sharma,Assistant Professor,Master of Business Administration (MBA)
"Mr. Faizan Ahmad is an Assistant Professor in the Department of Computer Science and Engineering in Artificial Intelligence and Machine Learning at Noida Institute of Engineering and Technology, Greater Noida with over 7 years of experience in the teaching. He completed his B.Tech. and M.Tech. in Computer Science and Engineering with First class from Dr. A.P.J. Abdul Kalam Technical University and Integral University, respectively. Mr. Ahmad is devoted to researching the applications of Deep Learning and Data Science in diverse domains, including Natural Language Processing. His research, teaching, and leadership have been instrumental in advancing the field.",https://www.niet.co.in/faculty/faizan-ahmad,Mr. Faizan Ahmad,Assistant Professor,Not Defined
"Education

Ph.D",https://www.niet.co.in/faculty/tushar-jain,Dr. Tushar Jain,Associate Professor,Mechanical Engineering
"I am Minhaj Nezami, currently working as an Assistant Professor in IT Department at NIET Greater Noida.

I earned my M.Tech in Computer Science and Engineering from Lingaya's Vidhyapeeth, Faridabad and B.E in Computer Science and Engineering from Jamia Millia Islamia, Central University, New Delhi. With a total of 8 years of experience, including in the industry, my expertise are Networking and Machine Learning.",https://www.niet.co.in/faculty/minhaj-nezami,Mr. Minhaj Nezami,Assistant Professor,Information Technology
"Mr. Archit Goel is currently working as Assistant Professor in Department of Data Science at NIET, Greater Noida.

He is B.Tech in Information technology and M.Tech in Computer science and Engineering. He is having 10+ years of experience in IT industry and Academics. He has Worked as a Software Engineer for Companies like- HCL Technologies Ltd. at work locations like Noida (India), Stockholm (Sweden), Nottingham (United Kingdom). Also Worked for Clients like eBay, McDonalds, BOOTS, H&M, Lowes, GSI Commerce. He is having Area of Specialization in Automation of Web Applications. His areas of interest include Object Oriented Programming in Java. He is also playing role of Coordinator in Training and placement Cell at NIET.",https://www.niet.co.in/faculty/archit-goel,Mr. Archit Goel,Data Science,Data Science
"Education

M.tech",https://www.niet.co.in/faculty/shruti-dadhich,Ms. Shruti Dadhich,Assistant Professor,Not Defined
"Ashish Patel, a PhD Candidate at NIT Jalandhar, boasts UGC NET and multiple GATE qualifications with a decade of experience. Specializing in algorithms, data structures, DBMS, OS, and Java programming, he brings a unique blend of academic rigor and practical knowledge.

Beyond academia, Ashish has contributed significantly to the EdTech industry. His research in blockchain technology is marked by multiple conference presentations and a published journal paper, showcasing his dedication to innovation. With a passion for shaping the digital future, Ashish stands as a versatile professional, poised to drive impactful change across various domains.",https://www.niet.co.in/faculty/asish-patel,Mr. Asish Patel,Assistant Professor,Data Science
"Mr. Sumit Sharma, Deputy Head (Department of Cyber Security), Noida Institute of Engineering and Technology Greater Noida, has 4 years’ experience in cooperate sector and also has 4+ years’ experience in teaching. He is Ph.D (P) (Artificial Intelligence / Machine Learning) from Amity University, Greater Noida. He has completed M.Tech (Computer Science Engineering) from Maharshi Dayanand University in 2019 and B.Tech (Information Technology) from Uttar Pradesh Technical University in 2013. His area of research is in Data Science, Cyber Security, Ethical Hacking, Artificial Intelligence, Machine Learning, Information Security etc.",https://www.niet.co.in/faculty/sumit-sharma,Mr. Sumit Sharma,Assistant Professor and Dy. Head,Cyber Security
"Dr Shilpi, an esteemed academician, holds the position of Associate Professor in the Department of English at Noida Institute of Engineering and Technology, Greater Noida. With a rich teaching experience spanning over 21 years, she has demonstrated a profound commitment to education.

She has received an award for Innovation in Teaching Her research area is ""Writing the Nation: A comparative study of the novels by Chinua Achebe and U.R. Ananthmurthy”. Her research interests are language and communication. She has presented several papers in various national and international conferences. She has published research papers in the Journals of high repute. Alongside her research, Dr. Saxena has been involved in imparting communication skills to both undergraduate and postgraduate students, contributing to their holistic academic growth. She is also a BEC certified trainer.",https://www.niet.co.in/faculty/shilpi-saxena,Dr. Shilpi Saxena,Associate Professor,Humanities & Applied Sciences
"Mr. Shailendra Kumar Verma is an Asst. Professor in Mechanical Engineering Dept. NIET Greater Noida. He has 12 year of teaching experience.

He did his B.Tech. from UPTU Lucknow & M.Tech from SHUATS Deemed-to-be-University Allahabad and pursuing PhD in Mechanical Engineering from GLA University Mathura. His main research areas are of Green composite materials, Hybrid Composite, Fiber based composite and its charaterization. His areas of interest include Machine Design, Automotive Engineering and Manufacturing Engineering.",https://www.niet.co.in/faculty/shailendra-kumar-verma,Mr. Shailendra Kumar Verma,Assistant Professor,Mechanical Engineering
"Anant Prakash Agrawal is currently an Assistant Professor in the Mechanical Engineering Department at Noida Institute of Engineering and Technology, Greater Noida He obtained his M. Tech. Degree in 2012 from MMM Engineering College, Gorakhpur.

His main research areas are modeling of crack growth rate and life prediction of composite materials, FEM, fracture mechanics, and continued working in the area of Additive Manufacturing/3D Printing. He published several papers in international/national journals and refereed conferences.",https://www.niet.co.in/faculty/anant-prakash-agrawal,Mr. Anant Prakash Agrawal,Assistant Professor,Mechanical Engineering
"Ms. Bandana Kumari is an Assistant Professor in the CSBS Department at NIET With B.Tech in Information technology and M.Tech in Computer science and engineering. Her research was based on efficient cluster head selection algorithm for wireless sensor network.

She has 4 years of teaching experience. Her area of interest includes computer network, operating system and wireless sensor network.",https://www.niet.co.in/faculty/bandana-kumari,Ms. Bandana Kumari,Assistant Professor,Computer Science and Business Systems
Not Defined,https://www.niet.co.in/faculty/md-usama,Mr. Md Usama,Assistant Professor,Humanities & Applied Sciences
"Ms. Namita Sharma is an Assistant Professor in School of Computer Applications at Noida Institute of Engineering & Technology, Greater Noida since 2021.

She is an engaging and trustworthy educator with 13 years of expertise instructing students of all skill levels and providing educational support. She has Master’s Degree in Technology (RGTU, Bhopal), and in Computer Applications (RGTU, Bhopal). She has presented a number of papers in national and international conferences. Her areas of interest include Computer Programming and Design and Analysis of algorithm. Through conferences and professional research, she engages in lifelong learning.",https://www.niet.co.in/faculty/namita-sharma,Ms. Namita Sharma,Assistant Professor,Master of Computer Applications (MCA)
"A passionate and a dedicated academician with an experience of more than 8 years and a sound academic background. She has attended many seminars, conferences and presented papers in national and international conferences. She has also published research papers in national and international journals. She is working as an Assistant Professor in the School of Management and efficiently imparting knowledge in the domain of Human resource management, Organizational behavior, Digital marketing and proficiently handling departmental ERP. She is also pursuing Ph.D from Amity University and her research areas include Emotional Intelligence, Emotional Well-being and Personality.",https://www.niet.co.in/faculty/simran-kaur,Ms. Simran Kaur,Assistant Professor,Master of Business Administration (MBA)
"Jishu Varshney currently working as Assistant professor in Master of Computer Application-department in Noida Institute of engineering and technology. She completed his MCA degree from Khwaja Moinuddin Chishti Language University, Lucknow. Her BCA in Shri Ramswaroop Memorial University. She has published 2 IEEE conferences.",https://www.niet.co.in/faculty/jishu-varshney,Ms. Jishu Varshney,Assistant Professor,Master of Computer Applications (MCA)
Not Defined,https://www.niet.co.in/faculty/manish,Mr. Manish,Assistant Professor,Computer Science & Engineering
"Ms. Deepika Sharma is currently an Assistant Professor in SOM dept at Noida Institute of Engineering and Technology, Greater Noida, India, where she is involved in teaching marketing/HR subjects to the students of Master of Business Administration.  

Ms. Deepika is pursuing his Ph.D. from Noida International University. Greater Noida.; She has a master’s degree in MBA from MDU University.",https://www.niet.co.in/faculty/deepika,Ms. Deepika,Assistant Professor,Master of Business Administration (MBA)
"Mr. Vishal Kumar is currently working as an Assistant Professor in the Department of Languages at Noida Institute of Engineering & Technology, Greater Noida (U.P). Mr. V Kumar is a member of Institution’s Innovative Council (IIC) at NIET. Mr. V Kumar has achieved his Masters in English Literature and Bachelor of Education degrees from Chaudhary Charan Singh University, Meerut (U.P). Currently, he is pursuing PhD program from Galgotias Univeristy.

He has got 15 years of vast experience in the field of teaching in academics, including working in the industries. His area of research interest is in English literature. He has also worked as a content writer in Arihant Publication, Meerut and got published various competitive books.",https://www.niet.co.in/faculty/vishal-kumar,Mr. Vishal Kumar,Assistant Professor,Humanities & Applied Sciences
"Pooja S, a dedicated academician and skilled communicator, is currently working as an Assistant Professor of English at Noida Institute of Engineering and Technology, Greater Noida. Prior to her current role, she honed her skills as a content developer and soft skills trainer at IndiaBix Technologies for over three years, where she mentored and guided young professionals.

Pooja holds a postgraduate degree from Central University of Andhra Pradesh and an undergraduate degree from PSG College of Arts and Science, Coimbatore. Her academic credentials are further solidified by her successful clearance of the UGC-NET in English. Throughout her academic journey, she actively participated in various extracurricular activities, fostering strong communication, leadership, and public speaking skills. Notably, she was a participant in the talkshow ""Nalla Pesunga Nalladhaiye Pesunga"" on Kalaignar TV (Tamil Channel). Her commitment to learning and professional development is evident in her recognition as an NPTEL Discipline Star under Humanities and Social Sciences from IIT-Madras. This achievement underscores her dedication to continuous improvement. Beyond her academic and professional pursuits, Pooja has explored her creative side. She has contributed an article to her compiled book, ""Journey of Experience,"" and her poetry has been published in Dinathandhi (Tamil Daily newspaper) and The Student Track.",https://www.niet.co.in/faculty/pooja-s,Ms. Pooja S.,Assistant Professor,Humanities & Applied Sciences
"Dr. Pankaj K. Tyagi, Professor in Biotechnology at NIET, Greater Noida, Uttar Pradesh. He holds a Ph.D. in Drosophila Genetics and Evolutionary Biology, earned from the Department of Biosciences at M. D. University, Rohtak, Haryana, India. With a profound academic background, Dr. Tyagi has authored four books, contributed to 25 book chapters, and published over 95 articles in reputable SCI/Scopus/referred journals. His editorial contributions extend across various domains, as he serves as the editor-in-chief, guest editor, and associate editor for several esteemed journals in Nanobiotechnology, Drosophila Biology, Zoology, Botany, and Toxicology.

Dr. Tyagi's academic leadership is reflected in his supervision of over 100 graduate and more than 20 postgraduate dissertations, including M.Phil and Ph.D. theses. His research primarily revolves around Green Nanomaterial Synthesis and their toxicity, with a focus on safety evaluations in vivo using various species of Drosophila. Recognized for his outstanding contributions, Dr. Tyagi has garnered numerous awards, including the University Research Fellowship and the Recommended UGC Research Award for the period 2014-2016. Notably, he was honored with the prestigious Fellow Linnaean Society London Fellowship Award in 2019-20. His expertise in nanobiotechnology and Drosophila biology has secured several research grants, and he has successfully organized workshops, conferences, and Short Term Training Programs, supported by funding agencies such as DBT, UP-CST, AKTU-CRIP, and LSFI.",https://www.niet.co.in/faculty/pankaj-kumar-tyagi,Dr. Pankaj Kumar Tyagi,Professor,Biotechnology
Ms. Gauri has prior experience as an HR recruiter in pharmaceutical company (Tirupati Medicare Pvt Ltd). She holds an MBA (Integrated) from Raja Balwant Singh Management Technical Campus Agra (A.K.T.U.),https://www.niet.co.in/faculty/gauri-agarwal,Ms. Gauri Agarwal,Assistant Professor,Master of Business Administration (MBA)
"I am Abdul Khalid working as an Assistant Professor in Department of Information Technology, NIET, Greater Noida, India. .My area of research are Machine Learning, Wireless Sensor Network and Genetic Algorithm My subject areas are Object Oriented Techniques using Java, Advanced Java Programming, Web Technology.",https://www.niet.co.in/faculty/abdul-khalid,Mr. Abdul Khalid,Assistant Professor,Information Technology
"Niharika Singh completed her Ph.D from Sanskriti University, Mathura. Her area of interest is HR & OB.
Ms. Niharika Singh, an academician has started her carrier from teaching having 11.5 years experience and currently working as an Assistant Professor in PGDM Dept. at NIET, Gr. Noida She is actively involved in writing article and research work & also has presented various papers & also got published in reputed national, international journals & proceedings.",https://www.niet.co.in/faculty/niharika-singh,Dr. Niharika Singh,Assistant Professor,Master of Business Administration (MBA)
"Er. Ramish Maqsood is currently serving as an Assistant Professor in the Biotechnology Department at Noida Institute of Engineering & Technology in Greater Noida, Uttar Pradesh.

He earned his M-Tech in 2021 from NIT, Jalandhar. He is actively involved in teaching various courses. He has published research and review papers in reputed journals and conferences. His area of interest includes bioprocess engineering, enzyme engineering and immunology.",https://www.niet.co.in/faculty/ramish-maqsood,Mr. Ramish Maqsood,Assistant Professor,Biotechnology
"Education

B. Tech (CSE), M Tech (CSE)",https://www.niet.co.in/faculty/shweta,Ms. Shweta,Assistant Professor,Not Defined
"Dr. Amit Kumar completed the Doctoral Programme from Sai Nath University, Ranchi in 2012 in the MSME domain and M.B.A. in Marketing Management . His areas of Interest are Marketing & Entrepreneurship.",https://www.niet.co.in/faculty/amitkumar,Dr. Amit Kumar,Assistant Professor,Master of Business Administration (MBA)
"Post Graduate in Masters of Computer Applications, having 7 months of teaching experience at Bimt , 9 months industry, 8 months teaching experience at NIET.",https://www.niet.co.in/faculty/vaishali-sisaudia,Ms. Vaishali Sisaudia,Assistant Professor,Master of Computer Applications (MCA)
"Mr. Anurag Jha is an Asst. Professor in Mechanical Engineering Dept. NIET Greater Noida. He has 6 year of teaching experience. He did his B.Tech. and M.Tech from MANIT Bhopal , Pursuing PhD from NIT Mizoram , Greater Noida. His areas of interest include Thernal Engineering",https://www.niet.co.in/faculty/anurag-jha,Mr. Anurag Jha,Assistant Professor,Mechanical Engineering
"Education

M.Tech",https://www.niet.co.in/faculty/pragya-mishra,Mr. Pragya Mishra,Assistant Professor,Mechanical Engineering
"I am Dr. Poornima Tyagi, currently working as an Assistant Professor in CSE Department at NIET Greater Noida.

I earned my MCA from Gurukul Kangri University, Haridwar and Mtech from KSOU, Karnataka. I received my PhD from Gurukul Kangri University, Haridwar. With a rich 12-year background, I specialize in the Machine Learning and Database Systems. My passion lies in transforming theoretical concepts into practical applications, and I am eager to contribute my expertise to cutting-edge projects in the ever-evolving field of technology.",https://www.niet.co.in/faculty/poornima-tyagi,Dr. Poornima Tyagi,Assistant Professor,Computer Science & Engineering
"Dr. Manali Gupta is an Assistant Professor and Head in CSBS Department with B.Tech degree in Information Technology, M.Tech in Computer Science and Doctorate degree in Computer Science. She has an experience of approximately 15 years. . Her areas of interest include image processing, machine learning, artificial intelligence and database systems",https://www.niet.co.in/faculty/manali-gupta-1,Dr. Manali Gupta,HOD,Data Science
Not Defined,https://www.niet.co.in/faculty/anjali-kumari,Ms. Anjali kumari,Assistant Professor,Information Technology
"Mr. Abhijeet Singh Yadav is currently working as an Assistant Professor of English at Noida Institute of Engineering and Technology, Greater Noida, India. He is involved in teaching professional/business English to the students of Engineering. Earlier, he worked as a Guest Lecturer at Kanchan Singh Bhooli Devi PG College, Kanpur.

He was published in an anthology of poetry. Apart from the literary pursuits, he holds a keen interest in cinema and has been an active part of multiple independent films.",https://www.niet.co.in/faculty/abhijeet-singh-yadav,Mr. Abhijeet Singh Yadav,Assistant Professor,Humanities & Applied Sciences
"Dr. Deepak Chandra Uprety is an Associate Professor in the Department of Computer Science at Noida Institute of Engineering & Technology, 19, Knowledge Park-II, Institutional Area, Greater Noida, India. He has B. Tech, M. Tech, and PhD degree in Computer Science & Engineering. Mobile computing is one of the interesting fields and also has publications and papers in other areas such as Big Data, AI & ML, etc. His areas of specialization include Data mining, and Computer graphics, in addition to Artificial Intelligence and Machine Learning.",https://www.niet.co.in/faculty/deepak-chandra-uprety,Dr. Deepak Chandra Uprety,Associate Professor,Computer Science
"Dr. Nidhi Sharma is currently serving as an Assistant Professor in the Data Science Department at Noida Institute of Engineering & Technology in Greater Noida, Uttar Pradesh. She earned her PhD in 2022.

She has multiple patents granted both at National and International level. Additionally, she has published multiple research papers in reputed journals and conferences. Her participation in numerous Faculty Development Programs (FDPs) and workshops reflects a commitment to continuous learning. She has also acted as session chair and reviewer for IEEE conference.",https://www.niet.co.in/faculty/nidhi-sharma,Dr. Nidhi Sharma,Assistant Professor,Data Science
I did M.Tech in CSE from RGPV UNIVERSITY Bhopal. I have published 3 papers. Area of interest in ML and cloud computing . I am having 3 yrs of industry experience as backend developer.,https://www.niet.co.in/faculty/pooja-kumari,Ms. Pooja Kumari,Assistant Professor,Computer Science & Engineering
"Aditee Mattoo, an academician, currently working as an Assistant Professor & Deputy HOD, CSE(M.Tech Int.) and CSE (Regional) at NIET Greater Noida. She has a total experience of 8 years including industry experience as a software developer for 2 years in Cognizant Technology Solutions Pvt. Ltd. and rest in academics. Her area of expertise includes IoT, Advanced and Core JAVA, Web Application Development, Android Applications.

She is recognized as a Wipro certified faculty. Her research profile includes international/national research papers, authored 03 book chapters on IoT and emerging trends, editor of 01 international book on IoT, and has 03 patents to her name, out of which two are granted She has successfully completed a sponsored granted project funded from AKTU under CRIP TEQIP-III of AKTU on Implementation and Optimization of Illumination Switching Patterns in Smart Cities using IoT. She has reviewed more than 30 research papers from IEEE conferences.",https://www.niet.co.in/faculty/aditee-mattoo,Ms. Aditee Mattoo,Assistant Professor & Dy. Head CSE- M.Tech Int.,Computer Science & Engineering
"I am Nidhi Chauhan, currently working as an Assistant Professor, IT Department at NIET, Greater Noida. I have completed my B.Tech (CSE) from Northern India Engineering College, Delhi and M.Tech (CSE) from Amity University, Noida.Currently pursuing PhD (CSE) from Galgotias University, Gautam Budha Nagar.

I have total experience of more than 5 years. I am NTA NET qualified . My area of expertise are Artificial intelligence and Machine Learning, Image processing and Web technology. I have published 1 patent, 2 book chapters and 2 scopus indexed international conference papers.",https://www.niet.co.in/faculty/nidhi-chauhan,Ms. Nidhi Chauhan,Assistant Professor,Information Technology
"Ms Anamika Srivastava currently working as Asistant Professor in the department of Computer Science & Engineering, at NIET, Greater Noida.

She has 8.5 years experience in teaching.She has received her Masters Degree from Uttar Pradesh Technical University Lucknow. She has published 4 research papers. Her area of expertise includes programming languages java, python , C, and object oriented programming.",https://www.niet.co.in/faculty/anamika-srivastava,Ms. Anamika Srivastava,Assistant Professor,Computer Science & Engineering
"Education

M.Tech",https://www.niet.co.in/faculty/pushpendra-upadhyay,Mr. Pushpendra Upadhyay,Assistant Professor,Mechanical Engineering
"Education

M.Tech",https://www.niet.co.in/faculty/vinay-lodhi,Mr. Vinay Lodhi,Assistant Professor,Mechanical Engineering
"Assistant Professor at the Department of English at Noida Institute of Engineering and Technology, Greater Noida.",https://www.niet.co.in/faculty/meeraz-hoque,Mr. Meeraz Hoque,Assistant Professor,Humanities & Applied Sciences
"Meghali Das works as an Assistant Professor in the Department of Artificial Intelligence and Machine Learning(AIML) at the Noida Institute of Engineering & Technology (NIET), Greater Noida. She has teaching and research experience of 7 years.

She received her B.Tech in Computer Science Engineering from Gauhati University, Assam, and her M.Tech degree in Computer Science Engineering & IT from Assam Don Bosco University,Assam. Her area of interest includes Deep Learning, Machine Learning, and Computer Vision.",https://www.niet.co.in/faculty/meghali-das,Ms. Meghali Das,Assistant Professor,Not Defined
"Pulkit Srivastava is an Assistant Professor at the Department of Mechancial Engineering at NIET, Greater Noida.

He has obtained his Masters in Manufacturing Technology from National Institute of Technnical Teachers' Training and Research (NITTTR), Chandigarh and also presently pursuing PhD in Mechanical Engineering from Sharda University, Greater Noida. He has a teaching experience of more than 13 years, industrial experience of 2 years.",https://www.niet.co.in/faculty/pulkit-srivastava,Mr. Pulkit Srivastava,Assistant Professor,Mechanical Engineering
"Dr. Anshuman Singh received his Ph.D degree in Electronics and Communication in 2022 from Sharda University, Greater Noida, India and Master of Technology in VLSI Design in 2009 from AKTU Lucknow, Uttar Pradesh, India. He is having teaching experience of more than 20 years.

His interested research areas are Microstrip antennas and VLSI Design. He has Published more that 25 Research papers in national, international journals and conferences, of good repute. He is currently working as an Associate Professor in the Department of Electronics & Communication Engineering at Noida Institute of Engineering & Technology, Greater Noida, India.",https://www.niet.co.in/faculty/anshuman-singh,Dr. Anshuman Singh,Assistant Professor,Electronics & Communication Engineering
"I Sana Anjum currently working as an Assistant Professor in CSE Department at Noida Institute of Engineering and Technology, Greater Noida, with a distinguished academic background holding an M.Tech and B.Tech both in Computer Science & Engineering along with a Diploma in CSE. I have 5 years of experience in teaching. I have notable list of certifications. My research contributions encompass presentations at international conferences and many publications in reputable journals. I also holds 2 patents and serves as a reviewer for academic conferences.",https://www.niet.co.in/faculty/sana-anjum,Ms. Sana Anjum,Assistant Professor,Computer Science & Engineering
Not Defined,https://www.niet.co.in/faculty/muneer-alam,Dr. Muneer Alam,Assistant Professor,Humanities & Applied Sciences
Not Defined,https://www.niet.co.in/faculty/nikita-gupta,Ms. Nikita Gupta,Humanities & Applied Sciences,Humanities & Applied Sciences
"Education

Ph.D.",https://www.niet.co.in/faculty/praveen-pachauri,Dr. Praveen Pachauri,Professor,Mechanical Engineering
"Mr. Himanshu Yadav graduated in Electronics & Communication Engineering from Uttar Pradesh Technical University (Now AKTU) in 2012. He obtained M.Tech. in Electronics & Communication Engineering from Dr. B R Ambedkar National Institute of Technology, Jalandhar in 2015. At present he is working as an Assistant Professor in Electronics and Communication Engineering Department. He has 8 years of experience, in teaching under graduate students. His field of research is Image Processing.",https://www.niet.co.in/faculty/himanshu-yadav,Mr. Himanshu Yadav,Assistant Professor,Electronics & Communication Engineering
"Education

M.Tech",https://www.niet.co.in/faculty/nishanat-soni,Mr. Nishanat Soni,Mechanical Engineering,Mechanical Engineering
"Er. Neeraj Agarwal is an Assistant Professor of the Department of Biotechnology at Noida Institute of Engineering and Technology, Greater Noida. Er. Neeraj has expertise in the are of Bioinformatics. He has a good research exposure in the field of Computational Biology.",https://www.niet.co.in/faculty/neeraj-agarwal,Er. Neeraj Agarwal,Assistant Professor,Biotechnology
